Year,Team,Player,Position,Signed Using,Base_Salary,Signing_Bonus,Trade_Kicker,Likely_Incentives,Unlikely_Incentives,Dead_Cap,Cap_Figure,Cap_Percentage
2004,Atlanta Hawks,Antoine Walker,PF,-,"$14,625,000",-,-,-,-,-,"$14,625,000 ",0.00
2004,Atlanta Hawks,Al Harrington,PF,-,"$6,325,000",-,-,-,-,-,"$6,325,000 ",0.00
2004,Atlanta Hawks,Josh Childress,SF,-,"$2,490,360",-,-,-,-,-,"$2,490,360 ",0.00
2004,Atlanta Hawks,Josh Smith,SF,Rookie,"$1,270,080",-,-,-,-,-,"$1,270,080 ",0.00
2004,Atlanta Hawks,Boris Diaw,C,Rookie,"$1,097,640",-,-,-,-,-,"$1,097,640 ",0.00
2004,Atlanta Hawks,Royal Ivey,PG,Minimum,"$425,000",-,-,-,-,-,"$425,000 ",0.00
2004,Boston Celtics,Paul Pierce,SF,-,"$12,584,668",-,-,-,-,-,"$12,584,668 ",0.00
2004,Boston Celtics,Rasheed Wallace,PF,-,"$9,720,000",-,-,-,-,-,"$9,720,000 ",0.00
2004,Boston Celtics,Marcus Banks,SG,-,"$1,611,840",-,-,-,-,-,"$1,611,840 ",0.00
2004,Boston Celtics,Al Jefferson,C,Rookie,"$1,407,240",-,-,-,-,-,"$1,407,240 ",0.00
2004,Boston Celtics,Tony Allen,SG,-,"$901,920",-,-,-,-,-,"$901,920 ",0.00
2004,Boston Celtics,Kendrick Perkins,C,-,"$875,400",-,-,-,-,-,"$875,400 ",0.00
2004,Boston Celtics,Gary Payton,PG,-,"$310,588",-,-,-,-,-,"$196,248 ",0.00
2004,Chicago Bulls,Tyson Chandler,C,-,"$4,801,102",-,-,-,-,-,"$4,801,102 ",0.00
2004,Chicago Bulls,Eddy Curry,C,-,"$3,896,402",-,-,-,-,-,"$3,896,402 ",0.00
2004,Chicago Bulls,Eddy Curry,C,-,"$3,896,402",-,-,-,-,-,"$3,896,402 ",0.00
2004,Chicago Bulls,Ben Gordon,SG,-,"$3,358,320",-,-,-,-,-,"$3,358,320 ",0.00
2004,Chicago Bulls,Kirk Hinrich,SG,-,"$2,349,840",-,-,-,-,-,"$2,349,840 ",0.00
2004,Chicago Bulls,Luol Deng,SF,-,"$2,273,400",-,-,-,-,-,"$2,273,400 ",0.00
2004,Chicago Bulls,Chris Duhon,PG,-,"$385,277",-,-,-,-,-,"$385,277 ",0.00
2004,Cleveland Cavaliers,Zydrunas Ilgauskas,C,Bird,"$14,625,000",-,-,-,-,-,"$14,625,000 ",0.00
2004,Cleveland Cavaliers,LeBron James,SF,-,"$4,320,360",-,-,-,-,-,"$4,320,360 ",0.00
2004,Cleveland Cavaliers,Drew Gooden,C,-,"$3,214,080",-,-,-,-,-,"$3,214,080 ",0.00
2004,Cleveland Cavaliers,DeSagana Diop,C,-,"$2,695,164",-,-,-,-,-,"$2,695,164 ",0.00
2004,Cleveland Cavaliers,Sasha Pavlovic,SG,Rookie,"$1,191,000",-,-,-,-,-,"$1,191,000 ",0.00
2004,Cleveland Cavaliers,Anderson Varejao,C,-,"$788,000",-,-,-,-,-,"$788,000 ",0.00
2004,Dallas Mavericks,Dirk Nowitzki,PF,-,"$12,584,688",-,-,-,-,-,"$12,584,688 ",0.00
2004,Dallas Mavericks,Jason Terry,SG,-,"$7,500,000",-,-,-,-,-,"$7,500,000 ",0.00
2004,Dallas Mavericks,Jerry Stackhouse,SF,-,"$7,437,500",-,-,-,-,-,"$7,437,500 ",0.00
2004,Dallas Mavericks,Marquis Daniels,SF,-,"$4,903,000",-,-,-,-,-,"$4,903,000 ",0.00
2004,Dallas Mavericks,Devin Harris,PG,Rookie,"$2,741,880",-,-,-,-,-,"$2,741,880 ",0.00
