Year,Team,Player,Position,Base_Salary,Signing_Bonus,Roster_Bonus,Option_Bonus,Workout_Bonus,Restructure_Bonus,Miscellaneous,Dead_Cap,Cap_Hit,Cap_Percentage
2004,Arizona Cardinals,Leonard Davis,G,"$4,815,000","$1,520,833",-,-,-,-,-,-,"$5,775,417 ",0.00
2004,Arizona Cardinals,Bertrand Berry,DE,"$4,000,000","$1,000,000",-,-,-,-,-,-,"$5,000,000 ",0.00
2004,Arizona Cardinals,Emmitt Smith,RB,"$2,500,000","$1,250,000",-,-,-,-,-,-,"$3,750,000 ",0.00
2004,Arizona Cardinals,Adrian Wilson,S,"$2,000,000","$900,000",-,-,-,-,-,-,"$2,900,000 ",0.00
2004,Arizona Cardinals,Larry Fitzgerald,WR,"$1,050,000","$1,250,000",-,-,-,-,-,-,"$2,300,000 ",0.00
2004,Arizona Cardinals,Bryant Johnson,WR,"$743,750","$370,000",-,-,-,-,-,-,"$1,687,291 ",0.00
2004,Arizona Cardinals,Calvin Pace,OLB,"$305,000","$600,000",-,"$525,000",-,-,-,-,"$1,430,000 ",0.00
2004,Arizona Cardinals,Todd Heap,TE,"$892,500","$460,000",-,-,-,-,-,-,"$1,352,500 ",0.00
2004,Arizona Cardinals,Kyle Vanden Bosch,DE,"$533,750","$375,000",-,-,-,-,-,-,"$908,750 ",0.00
2004,Arizona Cardinals,Karlos Dansby,ILB,"$230,000","$525,000",-,-,-,-,-,-,"$755,000 ",0.00
2004,Arizona Cardinals,Obafemi Ayanbadejo,FB,"$535,000","$100,000",-,-,-,-,-,-,"$635,000 ",0.00
2004,Arizona Cardinals,Anquan Boldin,WR,"$305,000","$302,500",-,-,-,-,-,-,"$607,500 ",0.00
2004,Arizona Cardinals,Neil Rackers,K,"$535,000","$46,667",-,-,-,-,-,-,"$581,667 ",0.00
2004,Arizona Cardinals,Josh McCown,QB,"$380,000","$161,000",-,-,-,-,-,-,"$541,000 ",0.00
2004,Arizona Cardinals,Darnell Dockett,DE,"$230,000","$190,000",-,-,-,-,-,"($570,000)","$420,000 ",0.00
2004,Arizona Cardinals,Alex Stepanovich,C,"$230,000","$115,833",-,-,-,-,-,-,"$345,833 ",0.00
2004,Arizona Cardinals,Reggie Wells,G,"$305,000","$26,000",-,-,-,-,-,-,"$331,000 ",0.00
2004,Arizona Cardinals,Jeremy Bridges,G,"$305,000",-,-,-,-,-,-,-,"$305,000 ",0.00
2004,Arizona Cardinals,John Navarre,QB,"$230,000","$14,833",-,-,-,-,-,-,"$244,833 ",0.00
2004,Arizona Cardinals,Antonio Smith,DT,"$40,588",-,-,-,-,-,-,-,"$40,588 ",0.00
2004,Atlanta Falcons,Michael Vick,QB,"$5,000,000","$1,450,000",-,"$1,142,857",-,-,-,-,"$7,592,857 ",0.00
2004,Atlanta Falcons,Patrick Kerney,DE,"$4,450,000","$1,214,285",-,-,-,-,-,-,"$5,814,285 ",0.00
2004,Atlanta Falcons,Todd Weiner,T,"$2,400,000","$1,100,000",-,-,-,-,-,-,"$3,500,000 ",0.00
2004,Atlanta Falcons,DeAngelo Hall,CB,"$230,000","$350,000","$1,320,000",-,-,-,-,-,"$1,900,000 ",0.00
2004,Atlanta Falcons,Todd McClure,C,"$550,000","$483,333",-,-,-,-,-,-,"$1,033,333 ",0.00
2004,Atlanta Falcons,Michael Jenkins,WR,"$380,000","$250,000",-,-,-,-,-,-,"$905,000 ",0.00
2004,Atlanta Falcons,Brian Finneran,WR,"$535,000","$250,000","$100,000",-,-,-,-,-,"$885,000 ",0.00
2004,Atlanta Falcons,Jay Feely,K,"$628,000",-,-,-,-,-,-,-,"$628,000 ",0.00
2004,Atlanta Falcons,Roberto Garza,C,"$628,000",-,-,-,-,-,-,-,"$628,000 ",0.00
2004,Atlanta Falcons,Bryan Scott,OLB,"$305,000","$250,000",-,-,-,-,-,-,"$555,000 ",0.00
2004,Atlanta Falcons,Demorrio Williams,LB,"$345,360","$115,118",-,-,-,-,-,-,"$460,478 ",0.00
2004,Atlanta Falcons,Matt Schaub,QB,"$230,000","$148,333",-,-,-,-,-,-,"$378,333 ",0.00
2004,Atlanta Falcons,Chad Lavalais,DT,"$230,000","$41,833",-,-,-,-,-,-,"$271,833 ",0.00
2004,Atlanta Falcons,Jason Wright,RB,"$40,588",-,-,-,-,-,-,-,"$40,588 ",0.00
2004,Baltimore Ravens,Ray Lewis,LB,"$4,000,000","$1,428,571",-,"$1,500,000",-,-,-,-,"$6,928,571 ",0.00
2004,Baltimore Ravens,Jamal Lewis,RB,"$3,234,000","$1,086,000",-,-,-,-,-,-,"$6,905,367 ",0.00
2004,Baltimore Ravens,Terrell Suggs,OLB,"$305,000","$400,000",-,"$1,062,500",-,-,-,-,"$1,767,500 ",0.00
2004,Baltimore Ravens,Deion Sanders,CB,"$1,500,000",-,-,-,-,-,-,-,"$1,500,000 ",0.00
2004,Baltimore Ravens,Ed Reed,S,"$512,500","$725,000",-,-,-,-,-,-,"$1,237,500 ",0.00
2004,Baltimore Ravens,Dwan Edwards,DT,"$320,000","$230,000",-,-,-,-,-,-,"$550,000 ",0.00
2004,Baltimore Ravens,Dave Zastudil,P,"$380,000","$101,667",-,-,-,-,-,-,"$481,667 ",0.00
2004,Baltimore Ravens,Chester Taylor,RB,"$380,000","$14,583",-,-,-,-,-,-,"$394,583 ",0.00
2004,Baltimore Ravens,Ovie Mughelli,RB,"$305,000","$79,333",-,-,-,-,-,-,"$384,333 ",0.00
2004,Baltimore Ravens,Jarret Johnson,OLB,"$305,000","$78,000",-,-,-,-,-,-,"$383,000 ",0.00
2004,Baltimore Ravens,Maake Kemoeatu,DT,"$380,000",-,-,-,-,-,-,-,"$380,000 ",0.00
2004,Baltimore Ravens,Bart Scott,LB,"$380,000",-,-,-,-,-,-,-,"$380,000 ",0.00
