"","Year","Lg","Tm","W","L","T","Playoffs","PF","PA","PD","Coaches","AV","Passer","Rusher","Receiver","oPts","oYds","dPts","dYds","T.G","PtsOvr","YdsOvr","out.of","MoV","SoS","SRS","OSRS","DSRS","TM","TID","c1","c2","p.Year","p.Lg","p.Tm","p.W","p.L","p.T","p.Playoffs","p.PF","p.PA","p.PD","p.Coaches","p.AV","p.Passer","p.Rusher","p.Receiver","p.oPts","p.oYds","p.dPts","p.dYds","p.T.G","p.PtsOvr","p.YdsOvr","p.out.of","p.MoV","p.SoS","p.SRS","p.OSRS","p.DSRS","p.TM","p.TID","p.c1","p.c2","fired.mid","nc","fired","start","cwins","closs","cties","wc","cc","dc","lsb","poffs","playwin","playloss","pmade","sb","cpw","cpl","post","rings","years","ap","twc","tdc","tcc","tlsb","d.Year","d.W","d.L","d.T","d.PF","d.PA","d.PD","d.oPts","d.oYds","d.dPts","d.dYds","d.T.G","d.PtsOvr","d.YdsOvr","d.out.of","d.MoV","d.SoS","d.SRS","d.OSRS","d.DSRS","win.p","p.win.p","d.win.p","v.win.p","c.win.p","pp","dpm","OPTS","OYDS","DPTS","DYDS","TO","PTSO","YDSO","pmz","postz","dpost","qb1","rb1","wr1","zc","y1","y2","y3","y4","y5","y6","y7","gm","gm1","gm2","l.post","mp","dp","cdp","dp5","dp3","dp2","champ","apy","cpwy","wcy","dcy","ccy","lsby","ringsy","apy1"
"18",1983,"NFL","Atlanta Falcons",7,9,0,"",370,389,-19,"Henning","Andrews","Bartkowski","Andrews","Bailey",10,8,23,25,14,18,18,28,-1.2,2,0.9,2.9,-2.1,"atl",23,"Henning","",1982,"NFL","Atlanta Falcons*",5,4,0,"Lost WC",183,199,-16,"Bennett","Andrews","Bartkowski","Andrews","Andrews",14,9,21,14,7,18,11,28,-1.8,-2,-3.8,-0.5,-3.3,"atl",23,"Bennett","",0,"Henning",0,1,7,9,0,0,0,-2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2,5,0,187,190,-3,-4,-1,2,11,7,0,7,0,0.6,4,4.7,3.4,1.2,0.4375,0.555555555555556,-0.118055555555556,0.544444444444445,0.4375,0,-1,0.357142857142857,0.285714285714286,0.821428571428571,0.892857142857143,0.5,0.642857142857143,0.642857142857143,-0.5,0,-3,0,0,1,-0.5,1,0,0,0,0,0,0,"Tom Braatz",0,1,1,1,-0.118055555555556,-0.118055555555556,-0.118055555555556,-0.118055555555556,-0.118055555555556,0,0,0,0,0,0,0,0,0
"19",1984,"NFL","Atlanta Falcons",4,12,0,"",281,382,-101,"Henning","Riggs","Bartkowski","Riggs","Bailey",22,19,22,15,23,23,19,28,-6.3,-0.3,-6.6,-3.7,-2.9,"atl",23,"Henning","",1983,"NFL","Atlanta Falcons",7,9,0,"",370,389,-19,"Henning","Andrews","Bartkowski","Andrews","Bailey",10,8,23,25,14,18,18,28,-1.2,2,0.9,2.9,-2.1,"atl",23,"Henning","",0,"Henning",0,0,11,21,0,0,0,-10,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,-3,3,0,-89,-7,-82,12,11,-1,-10,9,5,1,0,-5.1,-2.3,-7.5,-6.6,-0.8,0.25,0.4375,-0.1875,0.45,0.34375,0,-2,0.785714285714286,0.678571428571429,0.785714285714286,0.535714285714286,0.821428571428571,0.821428571428571,0.678571428571429,-0.25,0,0,0,1,0,-1.76776695296637,0,1,0,0,0,0,0,"Tom Braatz",0,1,2,1,-0.305555555555556,-0.211805555555556,-0.305555555555556,-0.305555555555556,-0.305555555555556,0,0,0,0,0,0,0,0,0
"20",1985,"NFL","Atlanta Falcons",4,12,0,"",282,452,-170,"Henning","Riggs","Archer","Riggs","Johnson",26,20,28,25,9,27,23,28,-10.6,1.7,-8.9,-2.1,-6.8,"atl",23,"Henning","",1984,"NFL","Atlanta Falcons",4,12,0,"",281,382,-101,"Henning","Riggs","Bartkowski","Riggs","Bailey",22,19,22,15,23,23,19,28,-6.3,-0.3,-6.6,-3.7,-2.9,"atl",23,"Henning","",0,"Henning",0,0,15,33,0,0,0,-18,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,1,70,-69,4,1,6,10,-14,4,4,0,-4.3,2,-2.3,1.6,-3.9,0.25,0.25,0,0.3,0.3125,0,-3,0.928571428571429,0.714285714285714,1,0.892857142857143,0.321428571428571,0.964285714285714,0.821428571428571,-0.166666666666667,0,0,1,0,1,-2.59807621135332,0,0,1,0,0,0,0,"Tom Braatz",0,1,3,1,-0.305555555555556,-0.243055555555556,-0.305555555555556,-0.305555555555556,-0.1875,0,0,0,0,0,0,0,0,0
"21",1986,"NFL","Atlanta Falcons",7,8,1,"",280,280,0,"Henning","Fralic","Archer","Riggs","Brown",21,17,6,7,12,16,11,28,0,-0.5,-0.5,-2.8,2.3,"atl",23,"Henning","",1985,"NFL","Atlanta Falcons",4,12,0,"",282,452,-170,"Henning","Riggs","Archer","Riggs","Johnson",26,20,28,25,9,27,23,28,-10.6,1.7,-8.9,-2.1,-6.8,"atl",23,"Henning","",0,"Campbell",1,0,22,41,1,0,0,-19,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,3,-4,1,-2,-172,170,-5,-3,-22,-18,3,-11,-12,0,10.6,-2.2,8.4,-0.7,9.1,0.46875,0.25,0.21875,0.3,0.3515625,0,-4,0.75,0.607142857142857,0.214285714285714,0.25,0.428571428571429,0.571428571428571,0.392857142857143,-0.125,0,0,0,0,1,-2.375,0,0,0,1,0,0,0,"Dan Henning",1,1,4,1,-0.0868055555555556,-0.203993055555556,-0.0868055555555556,0.03125,0.21875,0,0,0,0,0,0,0,0,0
"22",1987,"NFL","Atlanta Falcons",3,12,0,"",205,436,-231,"Campbell","Fralic","Campbell","Riggs","Dixon",28,28,28,28,28,28,28,28,-15.4,1.6,-13.8,-7.9,-5.9,"atl",23,"Campbell","",1986,"NFL","Atlanta Falcons",7,8,1,"",280,280,0,"Henning","Fralic","Archer","Riggs","Brown",21,17,6,7,12,16,11,28,0,-0.5,-0.5,-2.8,2.3,"atl",23,"Henning","",0,"Campbell",0,1,3,12,0,0,0,-9,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,-4,4,-1,-75,156,-231,7,11,22,21,16,12,17,0,-15.4,2.1,-13.3,-5.1,-8.2,0.2,0.46875,-0.26875,0.475,0.2,0,-1,1,1,1,1,1,1,1,-0.5,0,0,1,0,1,-2.32379000772445,1,0,0,0,0,0,0,"Ken Herock",0,1,1,1,-0.26875,-0.26875,-0.26875,-0.26875,-0.26875,0,0,0,0,0,0,0,0,0
"23",1988,"NFL","Atlanta Falcons",5,11,0,"",244,315,-71,"Campbell","Case","Miller","Settle","Settle",25,25,11,25,12,22,27,28,-4.4,-0.1,-4.5,-5,0.5,"atl",23,"Campbell","",1987,"NFL","Atlanta Falcons",3,12,0,"",205,436,-231,"Campbell","Fralic","Campbell","Riggs","Dixon",28,28,28,28,28,28,28,28,-15.4,1.6,-13.8,-7.9,-5.9,"atl",23,"Campbell","",0,"Campbell,Hanifan",0,0,8,23,0,0,0,-15,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,2,-1,0,39,-121,160,-3,-3,-17,-3,-16,-6,-1,0,11,-1.7,9.3,2.9,6.4,0.3125,0.2,0.1125,0.26,0.258064516129032,0,-2,0.892857142857143,0.892857142857143,0.392857142857143,0.892857142857143,0.428571428571429,0.785714285714286,0.964285714285714,-0.25,0,0,1,1,1,-2.69407953040162,0,1,0,0,0,0,0,"Ken Herock",0,1,2,1,-0.15625,-0.210685483870968,-0.15625,-0.15625,-0.15625,0,0,0,0,0,0,0,0,0
"24",1989,"NFL","Atlanta Falcons",3,13,0,"",279,437,-158,"Campbell,Hanifan","Miller","Miller","Settle","Collins",22,24,28,28,5,26,27,28,-9.9,0.8,-9.1,-3.2,-5.9,"atl",23,"Hanifan","Campbell",1988,"NFL","Atlanta Falcons",5,11,0,"",244,315,-71,"Campbell","Case","Miller","Settle","Settle",25,25,11,25,12,22,27,28,-4.4,-0.1,-4.5,-5,0.5,"atl",23,"Campbell","",1,"Glanville",1,0,11,36,0,0,0,-25,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,-2,2,0,35,122,-87,-3,-1,17,3,-7,4,0,0,-5.5,0.9,-4.6,1.8,-6.4,0.1875,0.3125,-0.125,0.35,0.234042553191489,0,-3,0.785714285714286,0.857142857142857,1,1,0.178571428571429,0.928571428571429,0.964285714285714,-0.166666666666667,0,0,0,0,1,-3.64662478744736,0,0,1,0,0,0,0,"Ken Herock",0,1,3,1,-0.28125,-0.234707446808511,-0.28125,-0.28125,-0.28125,0,0,0,0,0,0,0,0,0
"25",1990,"NFL","Atlanta Falcons",5,11,0,"",348,365,-17,"Glanville","Rison","Miller","Rozier","Rison",10,10,21,19,18,17,17,28,-1.1,-1.1,-2.1,0.9,-3.1,"atl",23,"Glanville","",1989,"NFL","Atlanta Falcons",3,13,0,"",279,437,-158,"Campbell,Hanifan","Miller","Miller","Settle","Collins",22,24,28,28,5,26,27,28,-9.9,0.8,-9.1,-3.2,-5.9,"atl",23,"Campbell","Hanifan",0,"Glanville",0,1,5,11,0,0,0,-6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2,-2,0,69,-72,141,-12,-14,-7,-9,13,-9,-10,0,8.8,-1.9,7,4.1,2.8,0.3125,0.1875,0.125,0.25,0.3125,0,-1,0.357142857142857,0.357142857142857,0.75,0.678571428571429,0.642857142857143,0.607142857142857,0.607142857142857,-0.5,0,0,0,1,1,-1.5,1,0,0,0,0,0,0,"Ken Herock",0,1,1,1,0.125,0.125,0.125,0.125,0.125,0,0,0,0,0,0,0,0,0
"26",1991,"NFL","Atlanta Falcons*",10,6,0,"Lost Div",361,338,23,"Glanville","Sanders","Miller","Broussard","Haynes",5,8,20,24,14,12,15,28,1.4,2,3.4,4.7,-1.3,"atl",23,"Glanville","",1990,"NFL","Atlanta Falcons",5,11,0,"",348,365,-17,"Glanville","Rison","Miller","Rozier","Rison",10,10,21,19,18,17,17,28,-1.1,-1.1,-2.1,0.9,-3.1,"atl",23,"Glanville","",0,"Glanville",0,0,15,17,0,0,0,-2,0,2,1,1,1,0,1,1,1,0,2,2,0,1,0,0,1,5,-5,0,13,-27,40,-5,-2,-1,5,-4,-5,-2,0,2.5,3.1,5.5,3.8,1.8,0.625,0.3125,0.3125,0.35,0.46875,0.5,0,0.178571428571429,0.285714285714286,0.714285714285714,0.857142857142857,0.5,0.428571428571429,0.535714285714286,0,0,1,0,1,1,-0.353553390593274,0,1,0,0,0,0,0,"Ken Herock",0,1,0,1,0.4375,0.28125,0.4375,0.4375,0.4375,0,1,0.5,0.5,0.5,0,0,0,1.05
"27",1992,"NFL","Atlanta Falcons",6,10,0,"",327,414,-87,"Glanville","Rison","Miller","Broussard","Rison",11,10,28,28,23,22,22,28,-5.4,1.4,-4.1,2.3,-6.4,"atl",23,"Glanville","",1991,"NFL","Atlanta Falcons*",10,6,0,"Lost Div",361,338,23,"Glanville","Sanders","Miller","Broussard","Haynes",5,8,20,24,14,12,15,28,1.4,2,3.4,4.7,-1.3,"atl",23,"Glanville","",0,"Glanville",0,0,21,27,0,0,0,-6,0,0,0,0,0,0,1,1,1,0,3,2,0,1,0,0,1,-4,4,0,-34,76,-110,6,2,8,4,9,10,7,0,-6.8,-0.6,-7.5,-2.4,-5.1,0.375,0.625,-0.25,0.6,0.4375,0.333333333333333,-1,0.392857142857143,0.357142857142857,1,1,0.821428571428571,0.785714285714286,0.785714285714286,-0.0555555555555556,0,0,0,0,1,-0.866025403784439,0,0,1,0,0,0,0,"Ken Herock",0,0,1,1,0.1875,0.25,0.1875,0.1875,0.0625,0,0.666666666666667,0.333333333333333,0.333333333333333,0.333333333333333,0,0,0,0.7
"28",1993,"NFL","Atlanta Falcons",6,10,0,"",316,385,-69,"Glanville","Hinton","Hebert","Pegram","Rison",12,11,28,25,28,23,21,28,-4.3,-0.1,-4.4,0.8,-5.2,"atl",23,"Glanville","",1992,"NFL","Atlanta Falcons",6,10,0,"",327,414,-87,"Glanville","Rison","Miller","Broussard","Rison",11,10,28,28,23,22,22,28,-5.4,1.4,-4.1,2.3,-6.4,"atl",23,"Glanville","",0,"Jones",1,0,27,37,0,0,0,-10,0,0,0,0,0,0,1,1,1,0,4,2,0,1,0,0,1,0,0,0,-11,-29,18,1,1,0,-3,5,1,-1,0,1.1,-1.5,-0.300000000000001,-1.5,1.2,0.375,0.375,0,0.4,0.421875,0.25,-2,0.428571428571429,0.392857142857143,1,0.892857142857143,1,0.821428571428571,0.75,-0.0625,0,0,1,1,0,-1.25,0,0,0,1,0,0,0,"Ken Herock",0,0,2,1,0.1875,0.234375,0.1875,0.0625,-0.25,0,0.5,0.25,0.25,0.25,0,0,0,0.525
"29",1994,"NFL","Atlanta Falcons",7,9,0,"",317,385,-68,"Jones","George","George","Heyward","Mathis",15,7,24,27,18,23,22,28,-4.3,0,-4.3,-1.2,-3.1,"atl",23,"Jones","",1993,"NFL","Atlanta Falcons",6,10,0,"",316,385,-69,"Glanville","Hinton","Hebert","Pegram","Rison",12,11,28,25,28,23,21,28,-4.3,-0.1,-4.4,0.8,-5.2,"atl",23,"Glanville","",0,"Jones",0,1,7,9,0,0,0,-2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,-1,0,1,0,1,3,-4,-4,2,-10,0,1,0,0,0.1,0.100000000000001,-2,2.1,0.4375,0.375,0.0625,0.4,0.4375,0,-1,0.535714285714286,0.25,0.857142857142857,0.964285714285714,0.642857142857143,0.821428571428571,0.785714285714286,-0.5,0,-1,1,1,1,-0.5,1,0,0,0,0,0,0,"Ken Herock",0,0,1,1,0.0625,0.0625,0.0625,0.0625,0.0625,0,0,0,0,0,0,0,0,0
"30",1995,"NFL","Atlanta Falcons*",9,7,0,"Lost WC",362,349,13,"Jones","George","George","Heyward","Metcalf",11,10,19,29,4,15,23,30,0.8,-0.7,0.1,0.9,-0.9,"atl",23,"Jones","",1994,"NFL","Atlanta Falcons",7,9,0,"",317,385,-68,"Jones","George","George","Heyward","Mathis",15,7,24,27,18,23,22,28,-4.3,0,-4.3,-1.2,-3.1,"atl",23,"Jones","",0,"Jones",0,0,16,16,0,1,0,0,0,1,0,1,1,0,0,1,1,0,2,1,1,0,0,0,1,2,-2,0,45,-36,81,-4,3,-5,2,-14,-8,1,2,5.1,-0.7,4.4,2.1,2.2,0.5625,0.4375,0.125,0.45,0.5,0.5,0,0.366666666666667,0.333333333333333,0.633333333333333,0.966666666666667,0.133333333333333,0.5,0.766666666666667,0,-0.125,1,0,0,1,0,0,1,0,0,0,0,0,"Ken Herock",0,0,0,1,0.1875,0.125,0.1875,0.1875,0.1875,0,0.5,0,0.5,0,0,0,0,0.05
