SeasonYear,Yards,Formation,PlayType,IsRush,IsPass,IsIncomplete,IsTouchdown,PassType,IsSack,IsChallenge,IsChallengeReversed,Challenger,IsMeasurement,IsInterception,IsFumble,IsPenalty,IsTwoPointConversion,IsTwoPointConversionSuccessful,RushDirection,YardLineFixed,YardLineDirection,IsPenaltyAccepted,PenaltyTeam,IsNoPlay,PenaltyType,PenaltyYards,Offensive ,Switch in EPA
2014,22,UNDER CENTER,PASS,0,1,0,1,DEEP RIGHT,0,0,0,,0,1,0,0,0,0,,1,OWN,0,,0,,0,NYJ,-4.23
2014,23,SHOTGUN,PASS,0,1,0,1,SHORT LEFT,0,0,0,,0,1,0,0,0,0,,11,OWN,0,,0,,0,TB,-5.84
2014,19,SHOTGUN,PASS,0,1,0,1,SHORT LEFT,0,0,0,,0,1,0,0,0,0,,8,OWN,0,,0,,0,WAS,-5.85
2014,25,SHOTGUN,PASS,0,1,0,0,DEEP LEFT,0,0,0,,0,1,0,0,0,0,,9,OWN,0,,0,,0,HOU,-3.89
2014,31,SHOTGUN,PASS,0,1,0,1,DEEP RIGHT,0,0,0,,0,1,0,0,0,0,,9,OWN,0,,0,,0,ATL,-5.89
2014,27,SHOTGUN,PASS,0,1,0,1,SHORT LEFT,0,0,0,,0,1,0,0,0,0,,16,OWN,0,,0,,0,IND,-6.22
2014,23,SHOTGUN,PASS,0,1,0,1,SHORT LEFT,0,0,0,,0,1,0,0,0,0,,19,OWN,0,,0,,0,NYG,-6.39
2014,23,SHOTGUN,PASS,0,1,0,1,SHORT RIGHT,0,0,0,,0,1,0,0,0,0,,12,OWN,0,,0,,0,IND,-6.45
2014,25,UNDER CENTER,PASS,0,1,0,1,SHORT RIGHT,0,0,0,,0,1,0,0,0,0,,20,OWN,0,,0,,0,DAL,-6.46
2014,22,SHOTGUN,PASS,0,1,0,1,INTENDED FOR,0,0,0,,0,1,0,0,0,0,,15,OWN,0,,0,,0,JAC,-6.49
2014,27,UNDER CENTER,PASS,0,1,0,1,SHORT RIGHT,0,0,0,,0,1,0,0,0,0,,22,OWN,0,,0,,0,ATL,-6.56
2014,22,SHOTGUN,PASS,0,1,0,1,SHORT RIGHT,0,0,0,,0,1,0,0,0,0,,7,OWN,0,,0,,0,JAC,-6.66
2014,43,SHOTGUN,PASS,0,1,0,1,SHORT LEFT,0,0,0,,0,1,0,0,0,0,,35,OWN,0,,0,,0,OAK,-6.78
2014,39,SHOTGUN,PASS,0,1,0,1,SHORT MIDDLE,0,0,0,,0,1,0,1,0,0,,26,OWN,1,KC,0,UNNECESSARY ROUGHNESS,15,NE,-6.97
2014,33,SHOTGUN,PASS,0,1,0,1,SHORT MIDDLE,0,0,0,,0,1,0,1,0,0,,30,OWN,1,,0,UNSPORTSMANLIKE CONDUCT,0,NO,-7.01
2014,28,SHOTGUN,PASS,0,1,0,1,SHORT MIDDLE,0,0,0,,0,1,0,0,0,0,,14,OWN,0,,0,,0,WAS,-7.04
2014,20,SHOTGUN,PASS,0,1,0,1,SHORT RIGHT,0,0,0,,0,1,0,0,0,0,,15,OWN,0,,0,,0,STL,-7.09
2014,60,SHOTGUN,PASS,0,1,0,0,DEEP LEFT,0,0,0,,0,1,0,0,0,0,,15,OWN,0,,0,,0,MIN,-5.58
2014,26,SHOTGUN,PASS,0,1,0,0,DEEP LEFT,0,1,0,,0,1,1,0,0,0,,11,OWN,0,,0,,0,NYJ,-5.64
2014,30,SHOTGUN,PASS,0,1,0,1,SHORT RIGHT,0,0,0,,0,1,0,0,0,0,,26,OWN,0,,0,,0,STL,-7.21
2014,47,SHOTGUN,PASS,0,1,0,1,DEEP RIGHT,0,0,0,,0,1,0,0,0,0,,27,OWN,0,,0,,0,JAC,-7.23
2014,84,SHOTGUN,PASS,0,1,0,1,DEEP LEFT,0,0,0,,0,1,0,1,0,0,,36,OPP,1,CAR,0,UNSPORTSMANLIKE CONDUCT,15,ATL,-7.32
2014,51,SHOTGUN,PASS,0,1,0,1,DEEP MIDDLE,0,0,0,,0,1,0,0,0,0,,20,OWN,0,,0,,0,PHI,-7.34
2014,28,UNDER CENTER,PASS,0,1,0,1,SHORT LEFT,0,0,0,,0,1,0,0,0,0,,20,OWN,0,,0,,0,TEN,-7.34
2014,33,UNDER CENTER,PASS,0,1,1,1,"PASS RULING,",0,1,0,,0,1,0,0,0,0,,20,OWN,0,,0,,0,CIN,-7.34
2014,25,UNDER CENTER,PASS,0,1,0,1,SHORT MIDDLE,0,0,0,,0,1,0,0,0,0,,21,OWN,0,,0,,0,STL,-7.38
2014,30,SHOTGUN,PASS,0,1,0,1,SHORT RIGHT,0,0,0,,0,1,0,0,0,0,,29,OWN,0,,0,,0,DEN,-7.43
2014,27,SHOTGUN,PASS,0,1,0,1,SHORT LEFT,0,0,0,,0,1,0,0,0,0,,23,OWN,0,,0,,0,NYJ,-7.46
2014,44,SHOTGUN,PASS,0,1,0,1,SHORT RIGHT,0,0,0,,0,1,0,0,0,0,,41,OWN,0,,0,,0,NO,-7.56
2014,58,SHOTGUN,PASS,0,1,0,1,SHORT RIGHT,0,0,0,,0,1,0,0,0,0,,47,OWN,0,,0,,0,ARI,-7.59
2014,34,SHOTGUN,PASS,0,1,0,1,SHORT RIGHT,0,0,0,,0,1,0,0,0,0,,26,OWN,0,,0,,0,CAR,-7.62
2014,33,NO HUDDLE SHOTGUN,PASS,0,1,0,1,SHORT LEFT,0,0,0,,0,1,0,0,0,0,,28,OWN,0,,0,,0,IND,-7.63
2014,40,SHOTGUN,PASS,0,1,0,1,SHORT LEFT,0,1,1,,0,1,0,0,0,0,,35,OWN,0,,0,,0,MIN,-7.66
2014,32,SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,1,0,0,0,0,,20,OWN,0,,0,,0,OAK,-5.17
2014,35,SHOTGUN,PASS,0,1,0,1,SHORT RIGHT,0,1,0,,0,1,0,0,0,0,,27,OWN,0,,0,,0,OAK,-7.72
2014,49,NO HUDDLE SHOTGUN,PASS,0,1,0,1,SHORT LEFT,0,0,0,,0,1,0,0,0,0,,45,OWN,0,,0,,0,SD,-7.98
2014,55,SHOTGUN,PASS,0,1,0,1,SHORT MIDDLE,0,0,0,,0,1,0,0,0,0,,49,OWN,0,,0,,0,HOU,-7.98
2014,53,SHOTGUN,PASS,0,1,0,1,SHORT RIGHT,0,0,0,,0,1,0,0,0,0,,45,OWN,0,,0,,0,SF,-8.08
2014,60,SHOTGUN,PASS,0,1,0,1,SHORT RIGHT,0,0,0,,0,1,0,0,0,0,,49,OPP,0,,0,,0,CIN,-8.1
2014,7,SHOTGUN,PASS,0,1,0,0,DEEP MIDDLE,0,0,0,,0,1,0,0,0,0,,9,OWN,0,,0,,0,BUF,-1.48
2014,41,SHOTGUN,PASS,0,1,0,1,SHORT LEFT,0,0,0,,0,1,0,0,0,0,,38,OWN,0,,0,,0,BUF,-8.31
2014,52,UNDER CENTER,PASS,0,1,0,1,SHORT MIDDLE,0,0,0,,0,1,0,0,0,0,,38,OWN,0,,0,,0,ATL,-8.31
2014,10,SHOTGUN,PASS,0,1,0,0,SHORT MIDDLE,0,0,0,,0,1,0,0,0,0,,25,OWN,0,,0,,0,CIN,-5.03
2014,52,NO HUDDLE SHOTGUN,PASS,0,1,0,1,SHORT RIGHT,0,0,0,,0,1,0,1,0,0,,48,OWN,1,PHI,0,LOW BLOCK,15,PHI,-8.36
2014,2,SHOTGUN,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,1,0,0,0,0,,7,OWN,0,,0,,0,TEN,-2.94
2014,4,UNDER CENTER,PASS,0,1,0,0,SHORT MIDDLE,0,0,0,,0,1,0,0,0,0,,4,OPP,0,,0,,0,STL,-4.65
2014,15,SHOTGUN,PASS,0,1,0,0,SHORT MIDDLE,0,0,0,,0,1,0,0,0,0,,20,OWN,0,,0,,0,CLE,-5.2
2014,0,UNDER CENTER,PASS,0,1,0,0,SHORT MIDDLE,0,0,0,,0,1,0,0,0,0,,9,OPP,0,,0,,0,TB,-4.45
2014,49,UNDER CENTER,PASS,0,1,0,1,SHORT RIGHT,0,0,0,,0,1,0,0,0,0,,43,OWN,0,,0,,0,STL,-8.63
2014,0,NO HUDDLE SHOTGUN,PASS,0,1,1,0,"PASS RULING,",0,1,0,,0,1,0,0,0,0,,6,OPP,0,,0,,0,NYG,-4.3
2014,20,UNDER CENTER,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,1,0,1,0,0,,22,OWN,1,SF,0,UNSPORTSMANLIKE CONDUCT,3,SF,-6.16
2014,23,SHOTGUN,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,1,0,0,0,0,,28,OWN,0,,0,,0,DEN,-5.42
2014,19,UNDER CENTER,PASS,0,1,0,0,SHORT MIDDLE,0,0,0,,0,1,0,0,0,0,,7,OPP,0,,0,,0,SD,-5.38
2014,62,SHOTGUN,PASS,0,1,0,1,DEEP MIDDLE,0,0,0,,0,1,0,0,0,0,,44,OWN,0,,0,,0,NO,-8.7
2014,49,UNDER CENTER,PASS,0,1,0,1,SHORT LEFT,0,0,0,,0,1,0,0,0,0,,39,OWN,0,,0,,0,MIN,-8.77
2014,0,UNDER CENTER,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,1,0,0,0,0,,6,OPP,0,,0,,0,CLE,-5.89
2014,5,SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,1,0,0,0,0,,10,OWN,0,,0,,0,NO,-3.85
2014,45,UNDER CENTER,PASS,0,1,0,1,SHORT RIGHT,0,0,0,,0,1,0,0,0,0,,47,OWN,0,,0,,0,NYJ,-8.87
2014,0,SHOTGUN,PASS,0,1,1,0,SHORT LEFT,0,1,1,,0,1,0,0,0,0,,4,OPP,0,,0,,0,TB,-5.78
2014,21,SHOTGUN,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,1,0,0,0,0,,14,OWN,0,,0,,0,GB,-5.17
2014,5,SHOTGUN,PASS,0,1,0,0,SHORT MIDDLE,0,0,0,,0,1,0,0,0,0,,10,OPP,0,,0,,0,NE,-4.4
2014,0,NO HUDDLE SHOTGUN,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,1,0,0,0,0,,5,OPP,0,,0,,0,PHI,-5.71
2014,0,UNDER CENTER,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,1,0,0,0,0,,5,OPP,0,,0,,0,DAL,-5.71
2014,0,SHOTGUN,PASS,0,1,0,0,SHORT MIDDLE,0,0,0,,0,1,0,0,0,0,,5,OPP,0,,0,,0,MIA,-5.71
2014,48,UNDER CENTER,PASS,0,1,0,0,DEEP RIGHT,0,0,0,,0,1,0,0,0,0,,32,OWN,0,,0,,0,DAL,-7.02
2014,32,SHOTGUN,PASS,0,1,1,0,"PASS RULING,",0,1,0,,0,1,0,0,0,0,,21,OWN,0,,0,,0,NYJ,-3.94
2014,22,SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,1,0,0,0,0,,22,OWN,0,,0,,0,OAK,-4.06
2014,2,SHOTGUN,PASS,0,1,0,0,DEEP LEFT,0,0,0,,0,1,0,0,0,0,,9,OWN,0,,0,,0,CHI,-2.66
2014,2,SHOTGUN,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,1,0,0,0,0,,21,OWN,0,,0,,0,BAL,-3.83
