YEAR,WEEK,RK,TEAM,RECORD,PTS,PREV,TRENDING,GAMES
2016,1,1,North Carolina (35),0-0,"1,566",15,14,"  vs Temple W 91-67,  vs Fairfield W 92-65"
2016,1,2,Kentucky (10),0-0,"1,520",1,1,"  vs Albany W 78-65,  vs NJIT W 87-57"
2016,1,3,Maryland (14),0-0,"1,487",12,9,  vs Mt St Mary's W 80-56
2016,1,4,Kansas (5),0-0,"1,410",10,6,  vs N Colorado W 109-72
2016,1,5,Duke,0-0,"1,350",4,1,"  vs Siena W 92-74,  vs Bryant W 113-75"
2016,1,6,Virginia (1),0-0,"1,347",6,--,  vs Morgan State W 86-48
2016,1,7,Iowa State,0-0,"1,185",9,2,  vs Colorado W 68-62
2016,1,8,Oklahoma,0-0,"1,088",13,5, No games scheduled.
2016,1,9,Gonzaga,0-0,"1,047",7,2, No games scheduled.
2016,1,10,Wichita St,0-0,"1,032",14,4,  vs Charleston So W 88-63
2016,1,11,Villanova,0-0,"1,013",2,9,  vs Fair Dickinson W 91-54
2016,1,12,Arizona,0-0,917,5,7,  vs Pacific W 79-61
2016,1,13,Michigan State,0-0,838,23,10,  vs FAU W 82-55
2016,1,14,California,0-0,757,NR,12,  vs Rice W 97-65
2016,1,15,Indiana,0-0,755,NR,11,  vs E Illinois W 88-49
2016,1,16,Utah,0-0,499,19,3,  vs Southern Utah W 82-71
2016,1,17,Wisconsin,0-0,433,3,14,"  vs W Illinois L 69-67,  vs Siena W 92-65"
2016,1,18,Vanderbilt,0-0,393,NR,8,  vs Austin Peay W 80-41
2016,1,19,Notre Dame,0-0,360,8,11,  vs St Francis (PA) W 87-56
2016,1,20,Connecticut,0-0,307,NR,6,  vs Maine W 100-56
2016,1,21,LSU,0-0,268,NR,5,  vs McNeese State W 81-70
2016,1,22,Baylor,0-0,265,16,6,  vs SF Austin W 97-55
2016,1,23,Purdue,0-0,236,NR,3,"  vs NC A&T; W 81-40,  vs Vermont W 107-79"
2016,1,24,Butler,0-0,223,24,--,  vs The Citadel W 144-71
2016,1,25,Michigan,0-0,126,NR,1,  vs N Michigan W 70-44
2016,2,1,North Carolina (37),2-0,"1,571",1,--,"  vs Wofford W 78-58,  @ Northern Iowa L 71-67"
2016,2,2,Kentucky (8),2-0,"1,520",2,--,"  @ Duke W 74-63,  vs Wright State W 78-63"
2016,2,3,Maryland (14),1-0,"1,496",3,--,"  vs Georgetown W 75-71,  vs Rider W 65-58"
2016,2,4,Kansas (5),1-0,"1,415",4,--,  @ Michigan State L 79-73
2016,2,5,Duke,2-0,"1,348",5,--,"  vs Kentucky L 74-63,  @ VCU W 79-71,  @ Georgetown W 86-84"
2016,2,6,Virginia (1),1-0,"1,341",6,--,"  @ G Washington L 73-68,  @ Bradley W 82-57,  vs LBSU W 87-52,  vs George Mason W 83-66"
2016,2,7,Iowa State,1-0,"1,189",7,--,  vs Chicago State W 106-64
2016,2,8,Oklahoma,0-0,"1,095",8,--,"  @ Memphis W 84-78,  vs McNeese State W 85-56"
2016,2,9,Wichita St,1-0,"1,043",10,1,"  @ Tulsa L 77-67,  vs Emporia St W 76-54"
2016,2,10,Gonzaga,0-0,"1,040",9,1,"  vs N Arizona W 91-52,  vs Mt St Mary's W 101-56"
2016,2,11,Villanova,1-0,"1,013",11,--,"  vs Nebraska W 87-63,  vs ETSU W 86-51,  vs Akron W 75-56"
2016,2,12,Arizona,1-0,973,12,--,"  vs Bradley W 90-60,  vs Boise State W 88-76,  vs Northwestern St W 61-42"
2016,2,13,Michigan State,1-0,837,13,--,"  vs Kansas W 79-73,  vs AR-Pine Bluff W 92-46"
2016,2,14,Indiana,1-0,763,15,1,"  vs Austin Peay W 102-76,  vs Creighton W 86-65"
2016,2,15,California,1-0,761,14,1,"  vs UCSB W 85-67,  vs ECU W 70-62"
2016,2,16,Utah,1-0,514,16,--,"  vs San Diego State W 81-76,  @ Texas Tech W 73-63,  vs Miami L 90-66,  vs Temple W 74-68"
2016,2,17,Vanderbilt,1-0,462,18,1,"  vs Gardner-Webb W 98-62,  vs Stony Brook W 79-72"
2016,2,18,Notre Dame,1-0,414,19,1,"  vs Milwaukee W 86-78,  vs UMass Lowell W 83-57"
2016,2,19,Connecticut,1-0,373,20,1,"  vs UNH W 85-66,  vs Furman W 83-58"
2016,2,20,Baylor,1-0,368,22,2,"  @ Oregon L 74-67,  vs Jackson State W 77-60"
2016,2,21,Purdue,2-0,291,23,2,"  vs Incarnate Word W 96-61,  @ Old Dominion W 61-39,  vs Florida W 85-70"
2016,2,22,Butler,1-0,284,24,2,"  @ Missouri State W 93-59,  vs Temple W 74-69,  @ Miami L 85-75"
2016,2,23,LSU,1-0,283,21,2,"  vs Kennesaw St W 91-69,  vs South Alabama W 78-66"
2016,2,24,Michigan,1-0,141,25,1,"  vs Elon W 88-68,  vs Xavier L 86-70"
2016,2,25,Oregon,1-0,121,NR,1,"  vs Baylor W 74-67,  vs Savannah State W 77-59,  vs Valparaiso W 73-67"
2016,3,1,Kentucky (59),4-0,"1,619",2,1,"  vs Boston U W 82-62,  @ USF W 84-63"
2016,3,2,Maryland (6),3-0,"1,518",3,1,"  @ Illinois State W 77-66,  @ URI W 86-63,  vs Cleveland State W 80-63"
2016,3,3,Michigan State,3-0,"1,448",13,10,"  vs E Michigan W 89-65,  vs Boston College W 99-68,  vs Boise State W 77-67,  @ Providence W 77-64"
2016,3,4,Iowa State,2-0,"1,297",7,3,"  vs Chattanooga W 83-63,  vs Virginia Tech W 99-77,  @ Illinois W 84-73"
2016,3,5,Kansas,1-1,"1,243",4,1,"  @ Chaminade W 123-72,  @ UCLA W 92-73,  vs Vanderbilt W 70-63"
2016,3,6,Duke,4-1,"1,238",5,1,"  vs Yale W 80-61,  vs Utah State W 85-52"
2016,3,7,Oklahoma,2-0,"1,210",8,1,"  vs Incarnate Word W 96-63,  vs Wisconsin W 65-48"
2016,3,8,Villanova,4-0,"1,153",11,3,"  vs Stanford W 59-45,  vs Georgia Tech W 69-52"
2016,3,9,North Carolina,3-1,"1,141",1,8,"  vs Northwestern W 80-69,  @ Kansas State W 80-70"
2016,3,10,Gonzaga,2-0,"1,138",10,--,"  vs Washington W 80-64,  vs Texas A&M; L 62-61,  vs UConn W 73-70"
2016,3,11,Arizona,4-0,970,12,1,"  vs Santa Clara W 75-73,  vs Providence L 69-65,  vs Boise State W 68-59"
2016,3,12,Virginia,4-1,872,6,6,  vs Lehigh W 80-54
2016,3,13,Indiana,3-0,846,14,1,"  vs Wake Forest L 82-78,  vs St John's W 83-73,  @ UNLV L 72-69"
2016,3,14,California,3-0,746,15,1,"  vs Sam Houston W 89-63,  vs San Diego State L 72-58,  @ Richmond L 94-90"
2016,3,15,Miami (FL),5-0,724,NR,11,  vs Northeastern L 78-77
2016,3,16,Purdue,5-0,550,21,5,  vs Lehigh W 77-55
2016,3,17,Notre Dame,3-0,480,18,1,"  @ Monmouth L 70-68,  @ Iowa W 68-62,  vs Alabama L 74-73"
2016,3,18,Connecticut,3-0,432,19,1,"  @ Michigan W 74-60,  vs Syracuse L 79-76,  @ Gonzaga L 73-70"
2016,3,19,Vanderbilt,3-0,431,17,2,"  vs St John's W 92-55,  @ Wake Forest W 86-64,  @ Kansas L 70-63"
2016,3,20,Wichita St,2-1,423,9,11,"  @ USC L 72-69,  vs Alabama L 64-60,  @ Iowa L 84-61"
2016,3,21,Oregon,4-0,369,25,4,  vs Arkansas State W 91-68
2016,3,22,LSU,3-0,285,23,1,"  @ Marquette L 81-80,  @ NC State L 83-72"
2016,3,23,Xavier,3-0,143,NR,3,"  vs N Kentucky W 78-66,  vs Alabama W 64-45,  @ USC W 87-77,  @ Dayton W 90-61"
2016,3,24,Cincinnati,4-0,110,NR,2,"  vs SE Louisiana W 64-49,  vs Nebraska W 65-61,  vs G Washington W 61-56"
2016,3,25,SMU,3-0,100,NR,1,  vs Brown W 77-69
2016,3,26,Texas A&M;,4-0,100,NR,1,"  vs Texas W 84-73,  @ Gonzaga W 62-61,  vs Syracuse L 74-67"
2016,4,1,Kentucky (59),6-0,"1,619",1,--,"  vs Illinois State W 75-63,  @ UCLA L 87-77"
2016,4,2,Maryland (4),6-0,"1,512",2,--,"  @ UNC L 89-81,  vs St Francis (PA) W 96-55"
2016,4,3,Michigan State (2),7-0,"1,510",3,--,"  vs Louisville W 71-67,  vs Binghamton W 76-33"
2016,4,4,Kansas,4-1,"1,342",5,1,"  vs Loyola (MD) W 94-61,  vs Harvard W 75-69"
2016,4,5,Iowa State,5-0,"1,338",4,1,  vs North Dakota St W 84-64
2016,4,6,Oklahoma,4-0,"1,269",7,1,  vs Cent Arkansas W 111-68
2016,4,7,Duke,6-1,"1,253",6,1,"  vs Indiana W 94-74,  vs Buffalo W 82-59"
2016,4,8,Villanova,6-0,"1,218",8,--,  @ Saint Joe's W 86-72
2016,4,9,North Carolina,5-1,"1,155",9,--,"  vs Maryland W 89-81,  vs Davidson W 98-65"
2016,4,10,Virginia,5-1,965,12,2,"  @ OSU W 64-58,  vs William & Mary W 67-52"
2016,4,11,Purdue,6-0,904,16,5,"  @ Pitt W 72-59,  vs New Mexico W 70-58"
2016,4,12,Xavier,7-0,801,23,11,  vs W Kentucky W 95-64
2016,4,13,Gonzaga,4-1,788,10,3,"  @ Washington St W 69-60,  vs Arizona L 68-63"
2016,4,14,Syracuse,6-0,696,NR,12,"  vs Wisconsin L 66-58,  @ Georgetown L 79-72"
2016,4,15,Oregon,5-0,628,21,6,"  vs Fresno State W 78-73,  @ UNLV L 80-69"
2016,4,16,Vanderbilt,5-1,587,19,3,"  vs Detroit W 102-52,  @ Baylor L 69-67"
2016,4,17,Cincinnati,7-0,551,24,7,"  vs Butler L 78-76,  vs Morgan State W 87-66"
2016,4,18,Texas A&M;,6-1,522,25,7,"  vs FGCU W 75-65,  @ Arizona State L 67-54"
2016,4,19,Arizona,6-1,504,11,8,  @ Gonzaga W 68-63
2016,4,20,West Virginia,6-0,363,NR,6,  vs Kennesaw St W 87-54
2016,4,21,Miami (FL),5-1,289,15,6,"  @ Nebraska W 77-72,  vs Charlotte W 88-60"
2016,4,22,SMU,4-0,256,25,3,"  @ TCU W 75-70,  vs UNH W 98-44"
2016,4,23,Providence,6-1,247,NR,3,"  vs Hartford W 89-66,  @ URI W 74-72"
2016,4,24,Louisville,5-0,173,NR,2,"  @ Michigan State L 71-67,  vs Grand Canyon W 111-63"
2016,4,25,Baylor,4-1,162,NR,1,"  vs PV A&M; W 80-41,  vs Vanderbilt W 69-67"
2016,5,1,Michigan State (62),9-0,"1,617",3,2,"  vs MD-E Shore W 78-35,  vs Florida W 58-52"
2016,5,2,Kansas (1),6-1,"1,442",4,2,"  vs Holy Cross W 92-59,  vs Oregon State W 82-67"
2016,5,3,North Carolina (2),7-1,"1,425",9,6,  @ Texas L 84-82
2016,5,4,Iowa State,6-0,"1,347",5,1,"  vs Buffalo W 84-63,  vs Iowa W 83-82,  vs AR-Pine Bluff W 78-64"
2016,5,5,Kentucky,7-1,"1,325",1,4,"  vs E Kentucky W 88-67,  vs Arizona State W 72-58"
