YEAR,REGION,ROUND,SEED,TEAM,SCORE,O_SEED,O_NAME,O_SCORE
2002,East Regional,1,1,Maryland,85,16,Siena,70
2002,East Regional,1,8,Wisconsin,80,9,St. John's (NY),70
2002,East Regional,1,5,Marquette,69,12,Tulsa,71
2002,East Regional,1,4,Kentucky,83,13,Valparaiso,68
2002,East Regional,1,6,Texas Tech,68,11,Southern Illinois,76
2002,East Regional,1,3,Georgia,85,14,Murray State,68
2002,East Regional,1,7,North Carolina State,69,10,Michigan State,58
2002,East Regional,1,2,UConn,78,15,Hampton,67
2002,East Regional,2,1,Maryland,87,8,Wisconsin,57
2002,East Regional,2,12,Tulsa,82,4,Kentucky,87
2002,East Regional,2,11,Southern Illinois,77,3,Georgia,75
2002,East Regional,2,7,North Carolina State,74,2,UConn,77
2002,East Regional,3,1,Maryland,78,4,Kentucky,68
2002,East Regional,3,11,Southern Illinois,59,2,UConn,71
2002,East Regional,4,1,Maryland,90,2,UConn,82
2002,Midwest Regional,1,1,Kansas,70,16,Holy Cross,59
2002,Midwest Regional,1,8,Stanford,84,9,Western Kentucky,68
2002,Midwest Regional,1,5,Florida,82,12,Creighton,83
2002,Midwest Regional,1,4,Illinois,93,13,San Diego State,64
2002,Midwest Regional,1,6,Texas,70,11,Boston College,57
2002,Midwest Regional,1,3,Mississippi State,70,14,McNeese State,58
2002,Midwest Regional,1,7,Wake Forest,83,10,Pepperdine,74
2002,Midwest Regional,1,2,Oregon,81,15,Montana,62
2002,Midwest Regional,2,1,Kansas,86,8,Stanford,63
2002,Midwest Regional,2,12,Creighton,60,4,Illinois,72
2002,Midwest Regional,2,6,Texas,68,3,Mississippi State,64
2002,Midwest Regional,2,7,Wake Forest,87,2,Oregon,92
2002,Midwest Regional,3,1,Kansas,73,4,Illinois,69
2002,Midwest Regional,3,6,Texas,70,2,Oregon,72
2002,Midwest Regional,4,1,Kansas,104,2,Oregon,86
2002,South Regional,1,1,Duke,84,16,Winthrop,37
2002,South Regional,1,8,Notre Dame,82,9,Charlotte,63
2002,South Regional,1,5,Indiana,75,12,Utah,56
2002,South Regional,1,4,USC,89,13,North Carolina-Wilmington,93
2002,South Regional,1,6,University of California,82,11,Penn,75
2002,South Regional,1,3,Pitt,71,14,Central Connecticut,54
2002,South Regional,1,7,Oklahoma State,61,10,Kent State,69
2002,South Regional,1,2,Alabama,86,15,Florida Atlantic,78
2002,South Regional,2,1,Duke,84,8,Notre Dame,77
2002,South Regional,2,5,Indiana,76,13,North Carolina-Wilmington,67
2002,South Regional,2,6,University of California,50,3,Pitt,63
2002,South Regional,2,10,Kent State,71,2,Alabama,58
2002,South Regional,3,1,Duke,73,5,Indiana,74
2002,South Regional,3,3,Pitt,73,10,Kent State,78
2002,South Regional,4,5,Indiana,81,10,Kent State,69
2002,West Regional,1,1,Cincinnati,90,16,Boston University,52
2002,West Regional,1,8,UCLA,80,9,Ole Miss,58
2002,West Regional,1,5,Miami (FL),80,12,Missouri,93
2002,West Regional,1,4,Ohio State,69,13,Davidson,64
2002,West Regional,1,6,Gonzaga,66,11,Wyoming,73
2002,West Regional,1,3,Arizona,86,14,UCSB,81
2002,West Regional,1,7,Xavier,70,10,Hawaii,58
2002,West Regional,1,2,Oklahoma,71,15,UIC,63
2002,West Regional,2,1,Cincinnati,101,8,UCLA,105
2002,West Regional,2,12,Missouri,83,4,Ohio State,67
2002,West Regional,2,11,Wyoming,60,3,Arizona,68
2002,West Regional,2,7,Xavier,65,2,Oklahoma,78
2002,West Regional,3,8,UCLA,73,12,Missouri,82
2002,West Regional,3,3,Arizona,67,2,Oklahoma,88
2002,West Regional,4,12,Missouri,75,2,Oklahoma,81
2002,Final_Four,Final_Four,1,Maryland,97,1,Kansas,88
2002,Final_Four,Final_Four,2,Oklahoma,64,5,Indiana,73
2002,Final_Four,Championship,1,Maryland,64,5,Indiana,52
2003,East Regional,1,1,Oklahoma,71,16,South Carolina State,54
2003,East Regional,1,8,University of California,76,9,North Carolina State,74
2003,East Regional,1,5,Mississippi State,46,12,Butler,47
2003,East Regional,1,4,Louisville,86,13,Austin Peay,64
2003,East Regional,1,6,Oklahoma State,77,11,Penn,63
2003,East Regional,1,3,Syracuse,76,14,Manhattan,65
2003,East Regional,1,7,St. Joseph's,63,10,Auburn,65
2003,East Regional,1,2,Wake Forest,76,15,ETSU,73
2003,East Regional,2,1,Oklahoma,74,8,University of California,65
2003,East Regional,2,12,Butler,79,4,Louisville,71
2003,East Regional,2,6,Oklahoma State,56,3,Syracuse,68
2003,East Regional,2,10,Auburn,68,2,Wake Forest,62
2003,East Regional,3,1,Oklahoma,65,12,Butler,54
2003,East Regional,3,3,Syracuse,79,10,Auburn,78
2003,East Regional,4,1,Oklahoma,47,3,Syracuse,63
2003,Midwest Regional,1,1,Kentucky,95,16,IUPUI,64
