Year,Team,Player,Position,Age,Base_Salary,Signing_Bonus,Performance_Bonus,Total_Salary,Cap_Figure
2008,Anaheim Ducks,Chris Pronger,D,33,"$6,250,000",-,-,"$6,250,000","$6,250,000 "
2008,Anaheim Ducks,Jean-Sebastien Giguere,G,31,"$5,500,000",-,-,-,"$6,000,000 "
2008,Anaheim Ducks,Ryan Getzlaf,C,23,"$4,500,000",-,-,"$4,500,000","$5,325,000 "
2008,Anaheim Ducks,Corey Perry,RW,23,"$4,500,000",-,-,"$4,500,000","$5,325,000 "
2008,Anaheim Ducks,Brendan Morrison,C,32,"$2,750,000",-,-,-,"$2,750,000 "
2008,Anaheim Ducks,Teemu Selanne,RW,38,"$3,250,000",-,-,-,"$2,625,000 "
2008,Anaheim Ducks,Teemu Selanne,RW,38,"$3,250,000",-,-,-,"$2,625,000 "
2008,Anaheim Ducks,Francois Beauchemin,D,28,"$1,650,000",-,-,"$1,650,000","$1,650,000 "
2008,Anaheim Ducks,Samuel Pahlsson,C,0,"$1,400,000",-,-,-,"$1,400,000 "
2008,Anaheim Ducks,Jonas Hiller,G,26,"$1,300,000",-,-,"$1,300,000","$1,300,000 "
2008,Anaheim Ducks,Sean O'Donnell,D,36,"$1,250,000",-,-,-,"$1,250,000 "
2008,Anaheim Ducks,Travis Moen,LW,26,"$925,000",-,-,"$925,000","$912,500 "
2008,Anaheim Ducks,Ladislav Smid,D,22,"$952,400",-,-,"$952,400","$885,766 "
2008,Anaheim Ducks,Stu Bickel,D,21,"$787,500","$87,500",-,"$875,000","$875,000 "
2008,Anaheim Ducks,Brendan Mikkelson,D,0,"$635,000",-,-,-,"$821,667 "
2008,Anaheim Ducks,Bobby Ryan,RW,21,"$850,000",-,"$1,100,000","$850,000","$821,666 "
2008,Anaheim Ducks,Steve Montador,D,28,"$800,000",-,-,-,"$800,000 "
2008,Anaheim Ducks,Matt Beleskey,LW,20,"$480,000","$85,000","$85,000","$565,000","$666,667 "
2008,Anaheim Ducks,Kent Huskins,D,0,"$650,000",-,-,-,"$625,000 "
2008,Anaheim Ducks,Ryan Carter,LW,24,"$525,000",-,-,"$525,000","$625,000 "
2008,Anaheim Ducks,Patrick Maroon,LW,20,"$475,000","$55,000",-,"$530,000","$527,778 "
2008,Anaheim Ducks,Drew Miller,LW,24,"$525,000",-,-,"$525,000","$525,000 "
2008,Anaheim Ducks,Troy Bodie,RW,23,"$500,000",-,-,"$500,000","$500,000 "
2008,Anaheim Ducks,Sheldon Brookbank,D,27,"$500,000",-,-,-,"$500,000 "
2008,Anaheim Ducks,Andrew Ebbett,C,25,"$475,000",-,-,-,"$487,500 "
2008,Arizona Coyotes,Viktor Tikhonov,LW,20,"$875,000",-,-,-,"$875,000 "
2008,Boston Bruins,Zdeno Chara,D,31,"$7,500,000",-,-,"$7,500,000","$7,500,000 "
2008,Boston Bruins,Brian Rolston,RW,35,"$5,250,000",-,-,-,"$5,062,500 "
2008,Boston Bruins,Marc Savard,C,31,"$5,000,000",-,-,"$5,000,000","$5,000,000 "
2008,Boston Bruins,Patrice Bergeron,C,22,"$5,000,000",-,-,"$5,000,000","$4,750,000 "
2008,Boston Bruins,Michael Ryder,RW,28,"$4,000,000",-,-,"$4,000,000","$4,000,000 "
2008,Boston Bruins,Nathan Horton,RW,23,"$3,500,000",-,-,"$3,500,000","$4,000,000 "
2008,Boston Bruins,Dennis Wideman,D,25,"$3,250,000",-,-,"$3,250,000","$3,937,500 "
2008,Boston Bruins,Chris Kelly,C,27,"$2,500,000",-,-,-,"$2,125,000 "
2008,Boston Bruins,Brad Boyes,RW,26,"$2,500,000",-,-,"$2,500,000","$1,833,333 "
2008,Boston Bruins,Zach Hamill,C,19,-,"$87,500",-,-,"$1,345,833 "
2008,Boston Bruins,Mark Stuart,D,24,"$1,100,000",-,-,"$1,100,000","$1,300,000 "
2008,Boston Bruins,Tim Thomas,G,34,"$1,100,000",-,-,-,"$1,100,000 "
2008,Boston Bruins,Tuukka Rask,G,21,"$850,000",-,"$2,350,000","$850,000","$850,000 "
2008,Boston Bruins,Philip Kessel,RW,20,"$787,500","$85,000","$1,350,000","$872,500","$850,000 "
2008,Boston Bruins,David Krejci,C,22,"$625,000","$200,000","$75,000","$825,000","$766,666 "
2008,Boston Bruins,Matt Hunwick,D,23,"$600,000","$175,000",-,"$775,000","$750,000 "
2008,Boston Bruins,Byron Bitz,RW,0,"$675,000","$125,000",-,-,"$740,000 "
2008,Boston Bruins,Milan Lucic,LW,20,"$585,000",-,"$265,000","$585,000","$618,333 "
2008,Boston Bruins,Brad Marchand,LW,20,"$500,000","$85,000","$265,000","$585,000","$590,000 "
2008,Boston Bruins,Adam McQuaid,D,21,"$550,000",-,"$75,000","$550,000","$541,666 "
2008,Boston Bruins,Jamie Tardif,RW,23,"$525,000",-,-,-,"$525,000 "
2008,Boston Bruins,Shawn Thornton,RW,30,"$516,666",-,-,"$516,666","$516,667 "
2008,Boston Bruins,Johnny Boychuk,D,24,"$500,000",-,-,"$500,000","$500,000 "
2008,Boston Bruins,Matt Hendricks,RW,27,"$500,000",-,-,"$500,000","$500,000 "
2008,Boston Bruins,Nate Thompson,C,23,"$500,000",-,-,"$500,000","$500,000 "
2008,Buffalo Sabres,Thomas Vanek,LW,24,"$8,000,000",-,-,"$8,000,000","$7,142,857 "
2008,Buffalo Sabres,Derek Roy,C,25,"$3,500,000",-,-,"$3,500,000","$4,000,000 "
