,Date,Number,Winner,Type,Loser
1,Aug 11th 2015,1,Zack Ryder,def. (pin),Joshua Kingsley
2,Aug 11th 2015,2,Charlotte,def. (sub),Naomi
3,Aug 11th 2015,3,Roman Reigns,def. (DQ),Luke Harper
4,Aug 11th 2015,4,Darren Young & Titus O'Neil,def. (pin),Big E & Kofi Kingston
5,Aug 11th 2015,5,Kevin Owens & Seth Rollins,def. (pin),Cesaro & Neville
6,Aug 11th 2015,1,Becky Lynch,def. (sub),Sasha Banks
7,Aug 11th 2015,2,Rusev,def. (sub),Fandango
8,Aug 11th 2015,3,Jack Swagger,def. (sub),Adam Rose
9,Aug 11th 2015,4,King Barrett & Stardust,def. (pin),Mark Henry & R-Truth
10,Aug 10th 2015,1,Alicia Fox & Brie Bella & Nikki Bella,def. (pin),Naomi & Sasha Banks & Tamina Snuka
11,Aug 10th 2015,2,Big E & Kofi Kingston,def. (pin),Diego & Fernando
12,Aug 10th 2015,3,Randy Orton,def. (pin),"Cesaro, Kevin Owens"
13,Aug 10th 2015,4,Luke Harper,def. (pin),Dean Ambrose
14,Aug 10th 2015,5,Rusev,draw (NC),Mark Henry
15,Aug 10th 2015,6,Neville,def. (pin),King Barrett
16,Aug 10th 2015,7,Randy Orton,def. (DQ),Seth Rollins (c)
17,Aug 10th 2015,1,Konnor & Viktor,def. (pin),Fandango & Jack Swagger
18,Aug 10th 2015,2,Bo Dallas,def. (pin),R-Truth
19,Aug 9th 2015,1,Kofi Kingston & Xavier Woods,def.,"Konnor & Viktor, Brad Maddox & Heath Slater, Kalisto & Sin Cara, Curtis Axel & Damien Sandow"
20,Aug 9th 2015,2,Stardust,def. (pin),Zack Ryder
21,Aug 9th 2015,3,The Miz,def. (pin),Jimmy Uso
22,Aug 9th 2015,4,Darren Young (c) & Titus O'Neil (c),def. (pin),Big E & Xavier Woods
23,Aug 9th 2015,5,Becky Lynch & Charlotte & Paige,def. (sub),Naomi & Sasha Banks & Tamina Snuka
24,Aug 9th 2015,6,Roman Reigns,def. (pin),Bray Wyatt
25,Aug 8th 2015,1,Big E & Xavier Woods,def.,"Kalisto & Sin Cara, Curtis Axel & Damien Sandow, Konnor & Viktor, Brad Maddox & Heath Slater"
26,Aug 8th 2015,2,Stardust,def. (pin),Zack Ryder
27,Aug 8th 2015,3,Rusev,def. (sub),Jimmy Uso
28,Aug 8th 2015,4,Darren Young (c) & Titus O'Neil (c),def. (pin),Big E & Xavier Woods
29,Aug 8th 2015,5,Becky Lynch & Charlotte & Paige,def. (sub),Naomi & Sasha Banks & Tamina Snuka
30,Aug 8th 2015,6,Roman Reigns,def. (pin),Bray Wyatt
31,Aug 8th 2015,1,Finn Bálor (c),def. (pin),Neville
32,Aug 8th 2015,2,Fandango,def. (pin),Adam Rose
