,Name,Elo,Matches
9,Randy Orton,2227.107697,1153
65,John Cena,2225.472559,1445
862,Roman Reigns,2202.12754,527
340,C. M. Punk,2098.637512,667
843,Ryback,2098.26325,561
743,Daniel Bryan,2088.585554,817
15,Edge,2043.371646,557
789,Seth Rollins,2004.442922,467
52,The Undertaker,1985.049855,299
14,Chris Jericho,1969.910274,590
707,Sheamus,1957.66161,879
85,Batista,1953.926705,468
32,Brock Lesnar,1953.608012,123
672,Nikki Bella,1945.056832,398
902,Rusev,1939.598896,227
837,Big E. Langston,1921.343565,148
41,The Big Show,1918.298292,1135
389,Bobby Lashley,1904.310779,161
897,Cesaro,1871.577338,387
631,Eve Torres,1869.777096,223
23,Jeff Hardy,1850.638657,285
19,Christian,1832.615064,471
854,Bray Wyatt,1812.787686,285
678,Dolph Ziggler,1808.09432,854
10,Triple H,1805.832368,465
748,Wade Barrett,1802.945084,387
16,Kurt Angle,1790.822953,220
81,Shawn Michaels,1790.447334,334
34,Rob Van Dam,1782.758842,463
171,Goldberg,1781.918501,51
556,Hornswoggle,1770.651249,132
895,Alexander Rusev,1769.248985,29
467,The Great Khali,1763.63916,487
68,Chris Benoit,1761.071936,414
694,Santina,1755.654852,34
873,Adrian Neville,1745.339207,90
40,Booker T.,1744.37667,278
875,Luke Harper,1743.273823,302
76,Rey Mysterio,1742.361785,759
819,A. J. Lee,1727.602549,221
31,Ric Flair,1723.084162,175
393,Mr. Kennedy,1715.681634,108
64,Mark Henry,1714.501639,608
915,Finn Bálor,1714.349943,21
918,Neville,1708.949226,96
37,Trish Stratus,1703.804113,190
39,Bradshaw,1690.657892,73
401,Mickie James,1688.90481,225
91,Jerry Lawler,1679.803228,63
592,Ted DiBiase,1679.094173,85
357,Juventud Guerrera,1678.741241,27
383,Ashley Massaro,1672.366391,60
61,Sean O'Haire,1672.075261,26
72,The Rock,1670.485963,26
887,Sami Zayn,1667.206938,78
635,Natalya,1665.608087,647
74,Bill DeMott,1665.077562,36
291,Viscera,1659.556237,101
263,John Bradshaw Layfield,1656.577873,150
910,Charlotte,1644.67123,58
420,The Boogeyman,1641.85351,38
281,Michelle McCool,1640.825583,189
35,Eddie Guerrero,1640.621503,209
896,Bad News Barrett,1637.387123,157
835,Dean Ambrose,1633.185216,602
499,Kelly Kelly,1630.84031,263
310,Snitsky,1630.209125,57
479,King Booker,1629.59575,60
870,Paige,1622.853818,269
30,Mr. McMahon,1619.987341,38
518,Montel Vontavious Porter,1619.713954,269
8,Test,1619.682522,107
462,Umaga,1618.610038,114
351,Jr.,1613.090347,76
803,Sin Cara,1612.154183,532
193,Garrison Cade,1609.412085,68
223,Lita,1609.001449,70
311,Muhammad Hassan,1602.107798,25
750,Skip Sheffield,1601.823871,51
898,Big E,1600.273173,326
50,Shelton Benjamin,1599.378999,389
378,Ken Kennedy,1598.620063,6
564,Big Daddy V,1596.592891,29
777,AJ,1595.044383,66
846,Lord Tensai,1591.761027,7
93,Ron Simmons,1589.682696,14
903,Stardust,1589.167359,187
894,El Torito,1586.836719,122
566,John Morrison,1585.785342,314
478,Beth Phoenix,1580.197701,233
147,Rodney Mack,1580.190007,49
343,Candice Michelle,1580.0423,94
391,Vito,1578.035155,27
136,Scott Steiner,1577.703113,51
189,Lance Cade,1577.518487,119
267,Johnny Nitro,1577.085324,122
238,Matt Morgan,1576.053515,12
432,Finlay,1575.29758,224
912,Kevin Owens,1573.869779,49
773,Alberto Del Rio,1573.219117,619
44,Rikishi,1571.977913,86
501,Sylvester Terkay,1570.628927,9
762,Jimmy Uso,1567.102915,795
627,Vladimir Kozlov,1566.928871,177
645,Evan Bourne,1566.766715,185
409,Gregory Helms,1565.779764,58
231,Heidenreich,1564.416089,73
376,Kerwin White,1564.336192,17
11,Hulk Hogan,1564.319201,61
278,Christy Hemme,1564.256345,27
84,Kane,1562.547641,1121
243,Mick Foley,1562.240542,19
721,Ted DiBiase Jr.,1561.780277,217
925,Becky Lynch,1559.973993,20
317,Chris Masters,1559.826956,214
563,Cody Rhodes,1557.44982,649
17,Hardcore Holly,1557.362324,183
786,Johnny Curtis,1556.414587,50
148,Steve Austin,1556.305693,5
812,Bo Rotundo,1554.40474,6
745,Darren Young,1553.647394,426
784,Mason Ryan,1551.847197,32
77,Bull Buchanan,1545.923139,3
160,Kitana Baker,1545.916243,3
99,Paul Heyman,1544.658851,11
365,Frankie Kazarian,1544.353824,4
121,Jim Ross,1544.075425,8
752,Bret Hart,1543.1827,10
445,Jim Duggan,1542.778323,68
630,Maryse,1540.225696,105
